Keyword,Immediate-early,# papers,Early,# papers,Early-late,# papers,Late,# papers,,Immediate-early (%),Early (%),Early-late (%),Late (%)
p16790_ul44_f5hc97,10.88,23,33.55,37,3.48,4,36.63,36,,12.87,39.69,4.11,43.33
q6sw94_ul37_p16778,24.85,29,2.54,19,0.00,0,0.68,2,,88.55,9.04,0.00,2.41
p13200_f5hi87_ul99,9.59,9,6.00,12,0.14,1,24.62,27,,23.77,14.86,0.35,61.01
f5hgq8_ul138,22.90,20,0.54,3,0.00,0,0.48,3,,95.74,2.26,0.00,1.99
ul83_p06725_p18139_q6sw59,22.78,12,1.58,6,2.00,1,5.68,9,,71.11,4.93,6.24,17.72
f5hac7_p16800_ul94,0.79,1,0.42,3,0.00,0,20.33,24,,3.69,1.96,0.00,94.35
f5hgt1_p16729_ul86_mcp,3.37,8,5.34,10,2.28,3,19.53,20,,11.04,17.49,7.46,64.00
f5hcm1_p13202_p03169_ul123,16.62,31,2.60,7,0.00,0,2.48,4,,76.60,11.99,0.00,11.41
f5hf62_us28_p69333_p69332,16.42,26,7.86,15,0.00,0,9.68,9,,48.34,23.15,0.00,28.51
f5hc16_b9vxk4_p16812_ul34,1.27,1,7.45,2,0.00,0,13.70,8,,5.65,33.23,0.00,61.12
b9vxd7_us3_f5heu0_p09712,13.63,20,2.30,9,0.00,0,1.86,7,,76.62,12.91,0.00,10.47
q6sw87_ul45_p16782,0.68,2,0.00,0,0.33,1,13.52,10,,4.65,0.00,2.29,93.05
ul54_p08546_q6sw77,12.04,15,12.43,18,1.10,2,6.55,10,,37.48,38.70,3.42,20.40
q6swp7_p19893_p06435_q6sw29_ul122_p06434,10.48,18,10.43,31,0.00,0,0.39,2,,49.19,48.97,0.00,1.84
p09714_us1_q6sw03,9.59,8,2.99,3,0.00,0,0.67,2,,72.39,22.58,0.00,5.03
q6svz5_q8uzk5_us11_p09727,8.12,13,4.61,10,0.00,0,7.13,10,,40.86,23.22,0.00,35.91
ul32_q6sw99_p08318,2.34,5,1.47,5,0.00,0,6.26,5,,23.23,14.62,0.00,62.15
p29839_f5hb40_ul84_p16727,1.62,3,6.14,5,0.00,0,1.21,4,,18.02,68.45,0.00,13.53
q6svx2_p09695_trs1,5.21,8,0.21,2,0.00,0,0.88,4,,82.69,3.35,0.00,13.96
ul82_p24429_f5hbc6_p06726,5.17,18,1.17,3,0.00,0,1.62,1,,64.90,14.70,0.00,20.40
ul29_c0h677_p16764_q6swa3,2.78,11,5.07,7,0.33,1,0.12,1,,33.48,61.01,4.01,1.51
dbp_f5hdq6_ul57_p17147,1.17,2,4.89,12,0.00,0,4.06,6,,11.53,48.34,0.00,40.12
d5lx59_q6sw84_p16785_ul48,1.87,4,0.64,3,0.50,1,4.40,4,,25.18,8.66,6.75,59.41
ul36_f5hay6_p16767,4.29,11,3.65,13,0.00,0,2.97,7,,39.32,33.41,0.00,27.27
q6sw04_irs1_p09715,3.53,6,4.00,2,0.00,0,1.28,3,,40.08,45.37,0.00,14.56
us22_f5hdc7_p09722,1.08,4,3.79,5,0.00,0,0.00,0,,22.13,77.87,0.00,0.00
ul16_p16757_f5hg68,0.30,2,2.59,5,0.00,0,3.77,2,,4.51,38.94,0.00,56.55
q6sw55_ul87_p16730,0.00,0,1.12,2,0.00,0,3.73,5,,0.00,23.03,0.00,76.97
p13201_p06473_ul55_f5hb53,0.79,5,0.60,2,0.20,1,3.65,6,,15.11,11.45,3.82,69.62
q6sw63_ul79_p16752,0.34,1,0.11,1,0.00,0,3.51,7,,8.65,2.80,0.00,88.55
ul30_p16765_f5hgc2,3.27,7,3.41,8,0.00,0,1.75,5,,38.79,40.45,0.00,20.76
p09728_f5hfj7_us10,0.20,1,0.23,1,0.00,0,3.19,3,,5.53,6.23,0.00,88.24
p17146_ul4_p17175_q6swc6,0.11,1,3.10,3,0.00,0,0.25,1,,3.21,89.46,0.00,7.33
ul31_q6swa0_p16848,0.00,0,0.47,2,0.00,0,3.08,7,,0.00,13.21,0.00,86.79
f5he05_us2_p09713_p60503,2.86,9,2.97,8,0.00,0,0.22,2,,47.21,49.12,0.00,3.67
f5ha93_ul46_p16783,0.92,3,0.54,2,0.00,0,2.92,4,,20.96,12.35,0.00,66.69
ul128_p16837_v9llx6,2.85,8,0.10,1,0.00,0,0.00,0,,96.61,3.39,0.00,0.00
f5het1_p16751_ul78,0.75,3,2.77,4,0.00,0,0.77,3,,17.50,64.57,0.00,17.92
f5hgg3_p16762_ul26,1.09,5,2.73,3,0.00,0,0.78,3,,23.68,59.36,0.00,16.96
d5lx53_ul42_f5hhz3_p16815,1.23,1,2.69,4,0.00,0,0.64,1,,27.02,58.90,0.00,14.08
ul21a_q7m6r1_f5hh39,2.67,3,0.14,1,0.00,0,0.50,3,,80.70,4.31,0.00,14.99
p16779_f5hg98_ul38,1.49,5,2.56,3,0.00,0,0.66,3,,31.67,54.35,0.00,13.98
