Keyword,immediate-early,#,    ,early,#,    ,latent,#,    ,late,#,    ,immediate-early (%),early (%),latent (%),late (%)
icp4_p90493_rs1,50.51,59,,15.15,32,,1.50,6,,6.50,18,,68.57,20.57,2.03,8.83
icp8_p36384_p89452_ul29,5.86,11,,13.00,13,,0.25,1,,4.63,8,,24.67,54.77,1.07,19.49
p89479_us11,5.60,9,,3.71,7,,0.14,1,,11.39,9,,26.87,17.79,0.69,54.65
p28276_ul54,10.05,11,,4.26,6,,0.00,0,,0.89,2,,66.13,28.00,0.00,5.87
p14345_p60504_us12,5.34,5,,0.00,0,,0.00,0,,0.95,1,,84.89,0.00,0.00,15.11
p03173_p06475_q89730_ul44,2.09,4,,5.19,5,,0.00,0,,1.67,3,,23.32,58.03,0.00,18.65
mcp_p89442_ul19,0.34,1,,0.44,2,,0.00,0,,4.97,4,,5.95,7.72,0.00,86.33
p28281_ul55,0.20,1,,0.00,0,,0.17,1,,4.84,3,,3.84,0.00,3.20,92.96
p28284_rl2,3.94,5,,0.28,1,,0.00,0,,0.21,2,,88.95,6.28,0.00,4.77
p89439_ul16,0.00,0,,0.39,2,,0.00,0,,3.60,1,,0.00,9.84,0.00,90.16
p89438_ul15,0.00,0,,1.27,1,,0.00,0,,3.54,1,,0.00,26.36,0.00,73.64
p06763_p08666_p24994_ul27,1.26,5,,1.20,2,,0.00,0,,3.25,2,,22.08,21.01,0.00,56.91
p28282_ul56,0.12,1,,2.90,2,,0.00,0,,2.94,3,,2.10,48.59,0.00,49.31
p89478_us10,0.00,0,,0.23,1,,0.00,0,,2.79,1,,0.00,7.46,0.00,92.54
p22486_p89461_ul38,0.17,1,,0.00,0,,0.00,0,,2.00,2,,7.69,0.00,0.00,92.31
p68335_p68336_ul48,1.89,5,,0.46,2,,0.00,0,,0.24,2,,72.92,17.70,0.00,9.38
p03172_q69467_us6,0.00,0,,0.66,3,,0.00,0,,1.71,2,,0.00,27.87,0.00,72.13
p89468_ul49,0.00,0,,1.59,3,,0.31,1,,1.04,1,,0.00,54.08,10.56,35.36
p89437_ul14,0.37,1,,0.30,1,,0.00,0,,1.57,2,,16.40,13.42,0.00,70.19
p13287_us3,0.65,4,,0.48,3,,0.27,1,,1.44,4,,23.03,16.86,9.45,50.66
p89459_ul36,0.37,1,,0.28,2,,0.00,0,,1.35,3,,18.38,13.93,0.00,67.69
p89454_ul31,0.00,0,,0.47,2,,0.00,0,,1.29,1,,0.00,26.59,0.00,73.41
p14379_p89474_us1,1.27,5,,0.83,2,,0.00,0,,0.24,2,,54.24,35.65,0.00,10.10
p89466_ul46,0.14,1,,0.69,1,,0.00,0,,1.25,1,,6.84,33.27,0.00,59.89
p89462_ul39,0.25,2,,1.00,3,,0.00,0,,0.25,2,,16.84,66.32,0.00,16.84
p28283_rl1,0.37,2,,0.25,1,,0.00,0,,0.91,1,,24.09,16.42,0.00,59.49
p89430_ul7,0.72,2,,0.00,0,,0.25,1,,0.00,0,,74.36,0.00,25.64,0.00
p89460_ul37,0.54,1,,0.64,2,,0.00,0,,0.62,2,,30.08,35.62,0.00,34.30
p28277_ul5,0.59,2,,0.61,1,,0.00,0,,0.35,1,,38.17,39.43,0.00,22.40
p07918_p89453_ul30,0.54,2,,0.30,2,,0.00,0,,0.10,1,,57.27,32.05,0.00,10.68
o39988_p68339_p68340_ul41,0.52,3,,0.31,2,,0.00,0,,0.00,0,,62.47,37.53,0.00,0.00
p89449_ul26,0.44,2,,0.00,0,,0.00,0,,0.50,1,,47.06,0.00,0.00,52.94
p89446_ul23,0.14,1,,0.50,1,,0.00,0,,0.17,1,,17.65,61.76,0.00,20.59
p13158_p28275_ul2,0.12,1,,0.33,1,,0.00,0,,0.50,1,,13.04,34.78,0.00,52.17
p22485_ul53,0.50,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
p89429_ul6,0.00,0,,0.00,0,,0.00,0,,0.50,1,,0.00,0.00,0.00,100.00
p36385_p89451_ul28,0.50,1,,0.17,1,,0.00,0,,0.00,0,,75.00,25.00,0.00,0.00
p89475_us8,0.00,0,,0.00,0,,0.00,0,,0.50,1,,0.00,0.00,0.00,100.00
p89467_ul47,0.36,2,,0.46,3,,0.25,1,,0.23,2,,27.84,35.55,19.27,17.34
p89432_ul9,0.36,2,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
p89470_ul51,0.11,1,,0.00,0,,0.00,0,,0.33,1,,25.00,0.00,0.00,75.00
p06489_ul12,0.00,0,,0.33,1,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
p89456_ul33,0.33,1,,0.29,1,,0.00,0,,0.00,0,,53.85,46.15,0.00,0.00
p89471_ul52,0.31,2,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
p0c012_p28279_ul3,0.12,1,,0.30,1,,0.00,0,,0.00,0,,29.41,70.59,0.00,0.00
p89436_ul13,0.00,0,,0.00,0,,0.00,0,,0.29,2,,0.00,0.00,0.00,100.00
p89444_ul21,0.00,0,,0.27,1,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
p89457_ul34,0.23,1,,0.17,1,,0.00,0,,0.00,0,,57.45,42.55,0.00,0.00
p89464_ul43,0.22,2,,0.20,1,,0.00,0,,0.00,0,,52.63,47.37,0.00,0.00
p89469_ul50,0.10,1,,0.20,1,,0.00,0,,0.00,0,,33.33,66.67,0.00,0.00
p89447_ul24,0.00,0,,0.00,0,,0.14,1,,0.00,0,,0.00,0.00,100.00,0.00
p13293_us5,0.00,0,,0.00,0,,0.00,0,,0.14,1,,0.00,0.00,0.00,100.00
p13292_us2,0.00,0,,0.14,1,,0.11,1,,0.00,0,,0.00,56.25,43.75,0.00
p89441_ul18,0.00,0,,0.12,1,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
p28280_ul4,0.11,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
p89477_us9,0.00,0,,0.11,1,,0.00,0,,0.10,1,,0.00,52.63,0.00,47.37
p89445_ul22,0.00,0,,0.10,1,,0.00,0,,0.11,1,,0.00,47.37,0.00,52.63
p89463_ul42,0.10,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
